sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT
1,2,1,1,66,0,0,0,1,1,-1,0,0,0,0,1,0.46270498
1,2,1,1,67,0,0,0,0,1,1,-1,1,0,0,0,0.349611463
1,2,1,1,68,0,0,0,0,0,1,1,1,1,0,0,0.378133046
1,2,1,1,69,1,1,1,0,0,0,1,1,1,1,0,0.351980435
1,2,1,1,70,1,1,1,1,0,0,0,0,1,1,1,0.694119975
1,2,1,1,71,0,1,0,1,1,0,0,0,0,1,1,0.483478176
1,2,1,1,72,1,1,0,0,1,1,0,-1,0,0,1,0.70346013
1,2,1,1,73,0,1,0,1,0,1,1,0,-1,0,0,0.690199863
1,2,1,1,74,1,0,1,0,1,0,1,-1,0,-1,0,0.735042983
1,2,1,1,75,0,1,0,-1,0,1,0,0,-1,0,-1,0.614490886
1,2,1,1,76,0,1,0,0,-1,0,1,-1,0,-1,0,0.453063897
1,2,1,1,77,1,0,1,0,0,-1,0,-1,-1,0,-1,0.505496677
1,2,1,1,78,0,1,0,-1,0,0,-1,0,-1,-1,0,1.056939873
1,2,1,1,79,1,1,0,0,-1,0,0,-1,0,-1,-1,0.665688834
1,2,1,1,80,0,1,0,1,0,-1,0,0,-1,0,-1,0.709307914
1,2,1,1,81,1,0,1,0,1,0,-1,-1,0,-1,0,0.48068496
1,2,1,1,82,1,0,1,-1,0,1,0,0,-1,0,-1,0.578224665
1,2,1,1,83,0,0,1,-1,-1,0,1,0,0,-1,0,0.696870576
1,2,1,1,84,1,0,1,0,-1,-1,0,1,0,0,-1,0.513032402
1,2,1,1,85,1,0,1,-1,0,-1,-1,0,1,0,0,0.746625052
1,2,1,1,86,1,0,1,-1,-1,0,-1,0,0,1,0,0.68943655
1,2,1,1,87,0,0,1,-1,-1,-1,0,0,0,0,1,0.561740091
1,2,1,1,88,1,0,1,0,-1,-1,-1,1,0,0,0,0.423761787
1,2,1,1,89,1,0,1,-1,0,-1,-1,0,1,0,0,0.615286603
1,2,1,1,90,0,0,1,-1,-1,0,-1,0,0,1,0,0.846351668
1,2,1,1,91,1,0,0,0,-1,-1,0,1,0,0,1,0.364207703
1,2,1,1,92,0,0,0,-1,0,-1,-1,0,1,0,0,0.623713981
1,2,1,1,93,0,0,0,0,-1,0,-1,1,0,1,0,0.432379739
1,2,1,1,94,0,0,0,0,0,-1,0,1,1,0,1,0.681765849
