sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT,State
1,2,1,1,22,1,1,0,0,-0,-1,-1,-1,1,0,0,0.379857376763994,0
1,2,1,1,23,1,0,1,1,0,-0,-1,-0,-1,1,0,0.475111073500102,0
1,2,1,1,24,1,0,1,-1,1,0,-0,0,-0,-1,1,0.424861950318245,0
1,2,1,1,25,0,1,0,-1,-1,1,0,0,0,-0,-1,0.532026794068315,0
1,2,1,1,26,0,1,0,0,-1,-1,1,-1,0,0,-0,0.359411571388137,0
1,2,1,1,27,0,1,0,0,0,-1,-1,-1,-1,0,0,0.396409878234863,0
1,2,1,1,28,1,0,1,0,0,0,-1,-1,-1,-1,0,0.540850875147044,0
1,2,1,1,29,1,0,1,-1,0,0,0,0,-1,-1,-1,0.516182439919248,0
1,2,1,1,30,0,1,0,-1,-1,0,0,0,0,-1,-1,0.643115980204584,0
1,2,1,1,31,0,1,0,0,-1,-1,0,-1,0,0,-1,0.420819718375697,0
1,2,1,1,32,1,1,0,0,0,-1,-1,-1,-1,0,0,0.523426895650573,0
1,2,1,1,33,1,0,1,1,0,0,-1,-0,-1,-1,0,0.54955876583881,0
1,2,1,1,34,0,0,1,-1,1,0,0,0,-0,-1,-1,0.624097526598689,0
1,2,1,1,35,0,1,0,-0,-1,1,0,1,0,-0,-1,0.439596604336202,0
1,2,1,1,36,1,0,1,0,-0,-1,1,-1,1,0,-0,0.447788965595464,0
1,2,1,1,37,1,0,1,-1,0,-0,-1,0,-1,1,0,0.484003762564498,0
1,2,1,1,38,1,0,1,-1,-1,0,-0,0,0,-1,1,0.523951507698712,0
1,2,1,1,39,1,0,1,-1,-1,-1,0,0,0,0,-1,0.495288530528342,0
1,2,1,1,40,1,0,1,-1,-1,-1,-1,0,0,0,0,0.736315093696703,0
1,2,1,1,41,1,0,1,-1,-1,-1,-1,0,0,0,0,0.512567125347232,0
1,2,1,1,42,1,0,1,-1,-1,-1,-1,0,0,0,0,0.569001174548248,0
1,2,1,1,43,1,0,1,-1,-1,-1,-1,0,0,0,0,0.573017533014081,0
1,2,1,1,44,0,0,1,-1,-1,-1,-1,0,0,0,0,0.520021919776809,0
1,2,1,1,45,1,0,1,-0,-1,-1,-1,1,0,0,0,0.40953309886936,0
1,2,1,1,46,1,0,1,-1,-0,-1,-1,0,1,0,0,0.793217291422025,0
1,2,1,1,47,1,0,1,-1,-1,-0,-1,0,0,1,0,0.649881576133339,0
1,2,1,1,48,1,0,1,-1,-1,-1,-0,0,0,0,1,0.652197841036468,0
1,2,1,1,49,1,0,1,-1,-1,-1,-1,0,0,0,0,0.753171798813128,0
1,2,1,1,50,1,0,1,-1,-1,-1,-1,0,0,0,0,0.394047346824209,0
1,2,1,1,51,0,0,1,-1,-1,-1,-1,0,0,0,0,0.415674896412384,0
1,2,1,1,52,0,1,0,-0,-1,-1,-1,1,0,0,0,0.35483449963931,0
1,2,1,1,53,1,1,0,0,-0,-1,-1,-1,1,0,0,0.362112201935361,0
1,2,1,1,54,0,0,1,1,0,-0,-1,-0,-1,1,0,0.64493427876414,0
1,2,1,1,55,1,0,1,-0,1,0,-0,1,-0,-1,1,0.570937502673587,0
1,2,1,1,56,0,0,0,-1,-0,1,0,0,1,-0,-1,0.480850571736028,1
1,2,1,1,57,1,1,1,-0,-1,-0,1,1,0,1,-0,0.651240628007599,1
1,2,1,1,58,1,0,0,1,-0,-1,-0,-0,1,0,1,0.889964617528676,1
1,2,1,1,59,0,0,0,-1,1,-0,-1,0,-0,1,0,0.433423121391115,1
1,2,1,1,60,0,0,0,-0,-1,1,-0,1,0,-0,1,0.450260158254878,1
1,2,1,1,61,1,1,1,-0,-0,-1,1,1,1,0,-0,0.541494596744087,1
1,2,1,1,62,0,0,0,1,-0,-0,-1,-0,1,1,0,0.638066953258658,1
1,2,1,1,63,1,0,0,-0,1,-0,-0,1,-0,1,1,0.416004079341292,1
1,2,1,1,64,1,1,1,-1,-0,1,-0,0,1,-0,1,0.598260502432368,1
1,2,1,1,65,1,1,1,1,-1,-0,1,-0,0,1,-0,0.696893948153047,1
1,2,1,1,66,0,0,0,1,1,-1,-0,-0,-0,0,1,0.462704979549926,1
1,2,1,1,67,0,0,0,-0,1,1,-1,1,-0,-0,0,0.349611463457222,1
1,2,1,1,68,0,0,0,-0,-0,1,1,1,1,-0,-0,0.378133046407129,1
1,2,1,1,69,1,1,1,-0,-0,-0,1,1,1,1,-0,0.351980435334553,1
1,2,1,1,70,1,1,1,1,-0,-0,-0,-0,1,1,1,0.694119975339618,1
1,2,1,1,71,0,1,0,1,1,-0,-0,-0,-0,1,1,0.483478175791333,0
1,2,1,1,72,1,1,0,0,1,1,-0,-1,-0,-0,1,0.70346012951768,0
1,2,1,1,73,0,1,0,1,0,1,1,-0,-1,-0,-0,0.690199862663121,0
1,2,1,1,74,1,0,1,0,1,0,1,-1,-0,-1,-0,0.735042982784307,0
1,2,1,1,75,0,1,0,-1,0,1,0,0,-1,-0,-1,0.614490885973737,0
1,2,1,1,76,0,1,0,0,-1,0,1,-1,0,-1,-0,0.453063896760341,0
1,2,1,1,77,1,0,1,0,0,-1,0,-1,-1,0,-1,0.505496676847088,0
1,2,1,1,78,0,1,0,-1,0,0,-1,0,-1,-1,0,1.05693987348968,0
1,2,1,1,79,1,1,0,0,-1,0,0,-1,0,-1,-1,0.665688834273169,0
1,2,1,1,80,0,1,0,1,0,-1,0,-0,-1,0,-1,0.709307913748489,0
1,2,1,1,81,1,0,1,0,1,0,-1,-1,-0,-1,0,0.48068496043652,0
1,2,1,1,82,1,0,1,-1,0,1,0,0,-1,-0,-1,0.578224665178368,0
1,2,1,1,83,0,0,1,-1,-1,0,1,0,0,-1,-0,0.696870575812682,0
1,2,1,1,84,1,0,1,-0,-1,-1,0,1,0,0,-1,0.513032402159752,0
1,2,1,1,85,1,0,1,-1,-0,-1,-1,0,1,0,0,0.746625052461695,0
1,2,1,1,86,1,0,1,-1,-1,-0,-1,0,0,1,0,0.689436550337177,0
1,2,1,1,87,0,0,1,-1,-1,-1,-0,0,0,0,1,0.561740090689,0
1,2,1,1,88,1,0,1,-0,-1,-1,-1,1,0,0,0,0.423761786583327,0
1,2,1,1,89,1,0,1,-1,-0,-1,-1,0,1,0,0,0.615286603132972,0
1,2,1,1,90,0,0,1,-1,-1,-0,-1,0,0,1,0,0.846351667757972,0
1,2,1,1,91,1,0,0,-0,-1,-1,-0,1,0,0,1,0.364207702898057,1
1,2,1,1,92,0,0,0,-1,-0,-1,-1,0,1,0,0,0.623713980966386,1
1,2,1,1,93,0,0,0,-0,-1,-0,-1,1,0,1,0,0.432379739293992,1
1,2,1,1,94,0,0,0,-0,-0,-1,-0,1,1,0,1,0.681765848882605,1
1,2,1,1,95,0,0,0,-0,-0,-0,-1,1,1,1,0,0.902901758982352,1
1,2,1,1,96,0,0,0,-0,-0,-0,-0,1,1,1,1,0.539739365577134,1
1,2,1,1,97,1,1,1,-0,-0,-0,-0,1,1,1,1,0.578715502031628,1
1,2,1,1,98,1,1,1,1,-0,-0,-0,-0,1,1,1,0.65913459955118,1
1,2,1,1,99,0,0,0,1,1,-0,-0,-0,-0,1,1,0.813201817458776,1
1,2,1,1,100,1,1,1,-0,1,1,-0,1,-0,-0,1,0.575993869960712,1
1,2,1,1,101,0,0,0,1,-0,1,1,-0,1,-0,-0,0.429260030274236,1
1,2,1,1,102,0,0,0,-0,1,-0,1,1,-0,1,-0,0.633570274072554,1
1,2,1,1,103,0,0,0,-0,-0,1,-0,1,1,-0,1,0.585053894554221,1
